Transaction Date,Post Date,Description,Category,Type,Amount,Memo
11/02/2025,11/03/2025,TST*CITRUS &amp; SALT,Food & Drink,Sale,-213.34,
11/01/2025,11/02/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-20.01,
10/29/2025,10/29/2025,SP WEST CANDLES,Home,Sale,-125.00,
10/26/2025,10/28/2025,SHAWS 0610,Groceries,Sale,-184.69,
10/26/2025,10/27/2025,TST* THE PLAYWRIGHT,Food & Drink,Sale,-84.62,
10/25/2025,10/27/2025,STAR MARKET 2576,Groceries,Sale,-20.42,
10/26/2025,10/27/2025,HOOKSETT IRV COMM MAN NB,Gas,Sale,-37.71,
10/26/2025,10/27/2025,CHINA MOON BUFFET,Food & Drink,Sale,-23.05,
10/12/2025,10/22/2025,Offer:Sunoco,Fees & Adjustments,Adjustment,2.23,
10/20/2025,10/21/2025,SIMS BARBER LAB 1,Personal,Sale,-66.00,
10/20/2025,10/21/2025,TST*AQUITAINE BOSTON,Food & Drink,Sale,-263.30,
10/16/2025,10/17/2025,TST*ROW 34 - SEAPORT,Food & Drink,Sale,-34.89,
10/16/2025,10/17/2025,TST*PUBLICO STREET BISTR,Food & Drink,Sale,-177.66,
10/12/2025,10/13/2025,SUNOCO 0267710200,Gas,Sale,-44.64,
10/12/2025,10/13/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-51.54,
10/11/2025,10/12/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-14.35,
10/10/2025,10/12/2025,NEWPORT VILLAGE MAR,Groceries,Sale,-40.45,
10/11/2025,10/12/2025,TROY GENERAL STORE,Groceries,Sale,-8.96,
10/09/2025,10/10/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-35.37,
10/09/2025,10/09/2025,Payment Thank You-Mobile,,Payment,4457.12,
10/07/2025,10/09/2025,JUMBO BITE,Food & Drink,Sale,-25.07,
10/07/2025,10/08/2025,NEWPORT VILLAGE MAR,Groceries,Sale,-89.37,
10/04/2025,10/06/2025,PICK AND SHOVEL,Home,Sale,-111.11,
10/05/2025,10/06/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-49.52,
10/04/2025,10/06/2025,KINNEY DRUGS #58,Health & Wellness,Sale,-9.99,
10/03/2025,10/05/2025,CTLP*NORTH COUNTRY VEN,Food & Drink,Sale,-2.50,
10/03/2025,10/05/2025,CTLP*NORTH COUNTRY VEN,Food & Drink,Sale,-2.50,
10/03/2025,10/05/2025,HOOKSETT IRV COMM MAN NB,Gas,Sale,-43.17,
10/03/2025,10/05/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-24.31,
10/02/2025,10/03/2025,BAY VIEW LIQUOR,Food & Drink,Sale,-36.89,
10/01/2025,10/03/2025,STAR OSCO 4587,Groceries,Sale,-136.43,
10/01/2025,10/02/2025,TST* THE PLAYWRIGHT,Food & Drink,Sale,-138.56,
09/28/2025,09/29/2025,SUNOCO 0267710200,Gas,Sale,-43.93,
09/26/2025,09/28/2025,WENDYS OLD FASHION,Food & Drink,Sale,-25.65,
09/23/2025,09/24/2025,STOP &amp; SHOP 0053,Groceries,Sale,-26.49,
09/22/2025,09/23/2025,SUNOCO 0267710200,Gas,Sale,-39.68,
09/22/2025,09/23/2025,SQ *TAIYAKI NYC - BOSTON,Food & Drink,Sale,-34.50,
09/21/2025,09/22/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-40.00,
09/18/2025,09/21/2025,STAR OSCO 4587,Groceries,Sale,-161.69,
09/16/2025,09/17/2025,TST* THE PLAYWRIGHT,Food & Drink,Sale,-100.44,
09/15/2025,09/16/2025,STOP &amp; SHOP 0053,Groceries,Sale,-2.03,
09/12/2025,09/14/2025,TROY GENERAL STORE,Groceries,Sale,-12.98,
09/11/2025,09/12/2025,HOAGIES PIZZA AND PASTA,Food & Drink,Sale,-112.95,
09/10/2025,09/11/2025,GEICO  *AUTO,Bills & Utilities,Sale,-551.05,
09/10/2025,09/10/2025,Payment Thank You-Mobile,,Payment,2049.57,
09/08/2025,09/10/2025,Diamond Windows and Doors,Home,Sale,-2188.20,
09/07/2025,09/09/2025,VONG`S THAI CUISINE,Food & Drink,Sale,-90.73,
09/07/2025,09/09/2025,SHELL OIL 10054621007,Gas,Sale,-57.19,
09/06/2025,09/08/2025,PICK AND SHOVEL,Home,Sale,-107.91,
09/04/2025,09/07/2025,PICK AND SHOVEL,Home,Sale,-16.00,
09/05/2025,09/07/2025,PICK AND SHOVEL,Home,Sale,-153.65,
09/05/2025,09/07/2025,NEWPORT VILLAGE MAR,Groceries,Sale,-96.02,
09/04/2025,09/05/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-23.31,
09/04/2025,09/05/2025,HOOKSETT IRV COMM MAN NB,Gas,Sale,-43.22,
09/01/2025,09/03/2025,THE JAY VILLAGE INN,Food & Drink,Sale,-118.45,
08/31/2025,09/01/2025,NEWPORT VILLAGE MAR,Groceries,Sale,-60.95,
08/30/2025,08/31/2025,STICKS AND STUFF,Home,Sale,-132.52,
08/28/2025,08/31/2025,SHAWS 0610,Groceries,Sale,-29.54,
08/24/2025,08/29/2025,Offer:Sunoco,Fees & Adjustments,Adjustment,2.54,
08/28/2025,08/29/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-27.68,
08/27/2025,08/28/2025,TST* THE BROADWAY,Food & Drink,Sale,-173.38,
08/27/2025,08/28/2025,HOOKSETT IRV COMM MAN NB,Gas,Sale,-38.17,
08/25/2025,08/26/2025,TST* THE PLAYWRIGHT,Food & Drink,Sale,-135.42,
08/24/2025,08/25/2025,SUNOCO 0267710200,Gas,Sale,-50.79,
08/23/2025,08/25/2025,THE INN,Food & Drink,Sale,-154.77,
08/22/2025,08/24/2025,CHINA MOON BUFFET,Food & Drink,Sale,-20.00,
08/22/2025,08/24/2025,NEWPORT VILLAGE MAR,Groceries,Sale,-15.89,
08/15/2025,08/17/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-46.35,
08/10/2025,08/12/2025,STAR OSCO 4587,Groceries,Sale,-116.57,
08/09/2025,08/10/2025,Payment Thank You-Mobile,,Payment,1311.48,
08/08/2025,08/10/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-42.98,
08/06/2025,08/07/2025,HOAGIES PIZZA AND PASTA,Food & Drink,Sale,-56.45,
08/06/2025,08/07/2025,NEWPORT VILLAGE MAR,Groceries,Sale,-97.29,
08/03/2025,08/04/2025,TROY GENERAL STORE,Groceries,Sale,-11.50,
08/03/2025,08/04/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-46.07,
08/02/2025,08/03/2025,NEWPORT VILLAGE MAR,Groceries,Sale,-77.27,
07/30/2025,08/01/2025,Diamond Windows and Doors,Home,Sale,-1500.00,
07/30/2025,07/31/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-28.80,
07/28/2025,07/29/2025,ROY'S KABAB,Food & Drink,Sale,-22.18,
07/15/2025,07/17/2025,NEWPORT IRVING MAPLE,Gas,Sale,-5.78,
07/15/2025,07/16/2025,HOAGIES PIZZA AND PASTA,Food & Drink,Sale,-47.22,
07/08/2025,07/08/2025,Payment Thank You-Mobile,,Payment,614.32,
07/07/2025,07/08/2025,DEKAMARKT 44415,Groceries,Sale,-2.94,
07/05/2025,07/08/2025,NLOVGY5BE9DLDBGJLP,Travel,Sale,-12.26,
07/06/2025,07/08/2025,BISON HAARLEM BV,Food & Drink,Sale,-143.83,
07/05/2025,07/07/2025,NLOV6D5EE4X4RNK54L,Travel,Sale,-12.26,
07/05/2025,07/07/2025,CITY KORTE POTEN SPAR,Groceries,Sale,-8.08,
07/05/2025,07/07/2025,ESCHER IN HET PALEIS,Entertainment,Sale,-31.83,
07/04/2025,07/06/2025,NLOVLD5D6LVM77D5Z7,Travel,Sale,-6.14,
07/04/2025,07/06/2025,NLOVX75P8W6GDEB58Z,Travel,Sale,-6.13,
07/04/2025,07/06/2025,Hotel Bernina 1932 SA,Travel,Sale,-45.59,
07/05/2025,07/06/2025,Bram Ladage Spuistraat,Food & Drink,Sale,-9.67,
07/05/2025,07/06/2025,Global Prime Production B,Food & Drink,Sale,-13.26,
07/03/2025,07/04/2025,Manor AG,Shopping,Sale,-119.54,
07/03/2025,07/04/2025,Boutique Lacoste 226,Shopping,Sale,-55.72,
07/03/2025,07/04/2025,AL-NARJISE SARL,Food & Drink,Sale,-28.49,
07/01/2025,07/02/2025,SUMUP  *LEMAN BAE RESTAUR,Food & Drink,Sale,-214.71,
06/29/2025,06/30/2025,Coop-4579 Interlaken,Groceries,Sale,-23.57,
06/29/2025,06/30/2025,Coop-5151 Interlaken Post,Groceries,Sale,-5.03,
06/29/2025,06/30/2025,Hotel Interlaken,Food & Drink,Sale,-197.11,
06/29/2025,06/30/2025,Familie Kaspar von Almen,Travel,Sale,-36.46,
06/27/2025,06/29/2025,93000122 Berlin HBF BFC P,Food & Drink,Sale,-13.39,
06/27/2025,06/29/2025,DB FERNVERKEHR AG,Food & Drink,Sale,-9.28,
06/28/2025,06/29/2025,Restaurant BaseCamp,Food & Drink,Sale,-136.39,
06/26/2025,06/27/2025,Brammibals Donuts,Food & Drink,Sale,-17.50,
06/26/2025,06/27/2025,Al Rez und Matouk GbR,Food & Drink,Sale,-44.31,
06/26/2025,06/27/2025,www.riverty.com*BVG,Travel,Sale,-12.37,
06/26/2025,06/27/2025,BERLINER DOM,Professional Services,Sale,-23.33,
06/26/2025,06/27/2025,BARBERSHOP,Personal,Sale,-23.33,
06/25/2025,06/26/2025,www.riverty.com*BVG,Travel,Sale,-12.34,
06/25/2025,06/26/2025,Wurst am Branden,Food & Drink,Sale,-22.37,
06/24/2025,06/25/2025,www.riverty.com*BVG,Travel,Sale,-14.25,
06/13/2025,06/15/2025,V-CARE PHARMACY,Health & Wellness,Sale,-10.00,
06/09/2025,06/10/2025,Payment Thank You-Mobile,,Payment,745.56,
06/06/2025,06/08/2025,PLAYA BOWLS - SOUTHIE MA,Food & Drink,Sale,-13.91,
05/31/2025,06/03/2025,THE JAY VILLAGE INN,Food & Drink,Sale,-132.07,
05/25/2025,05/26/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-49.81,
05/23/2025,05/25/2025,SHELL OIL 10054621007,Gas,Sale,-50.00,
05/18/2025,05/20/2025,VONG`S THAI CUISINE,Food & Drink,Sale,-24.42,
05/15/2025,05/18/2025,NEWPORT IRVING MAPLE,Gas,Sale,-50.00,
05/15/2025,05/16/2025,V-CARE PHARMACY,Health & Wellness,Sale,-10.00,
05/15/2025,05/16/2025,HOAGIES PIZZA AND PASTA,Food & Drink,Sale,-119.15,
05/14/2025,05/16/2025,TST*PUBLICO STREET BISTR,Food & Drink,Sale,-164.96,
05/12/2025,05/12/2025,TV-Turm Alexanderplatz Ga,Entertainment,Sale,-57.60,
05/09/2025,05/11/2025,SIMS BARBER LAB 1,Personal,Sale,-66.00,
05/08/2025,05/08/2025,Payment Thank You-Mobile,,Payment,1991.59,
05/06/2025,05/07/2025,NATIONAL MUSEUM,Entertainment,Sale,-53.38,
04/27/2025,04/29/2025,VONG`S THAI CUISINE,Food & Drink,Sale,-53.32,
04/25/2025,04/27/2025,TST* NINETY NINE - LITTLE,Food & Drink,Sale,-121.79,
04/23/2025,04/25/2025,STAR OSCO 4587,Groceries,Sale,-31.74,
04/22/2025,04/23/2025,TST*PUBLICO STREET BISTR,Food & Drink,Sale,-139.63,
04/20/2025,04/22/2025,STAR OSCO 4587,Groceries,Sale,-53.42,
04/17/2025,04/18/2025,TST* THE PLAYWRIGHT,Food & Drink,Sale,-158.68,
04/17/2025,04/18/2025,V-CARE PHARMACY,Health & Wellness,Sale,-10.00,
04/12/2025,04/14/2025,TST*CITRUS &amp; SALT,Food & Drink,Sale,-130.97,
04/12/2025,04/13/2025,WHOLEFDS INK #10513,Groceries,Sale,-5.49,
04/10/2025,04/11/2025,ECONOMY HARDWARE #3,Home,Sale,-6.36,
04/10/2025,04/11/2025,TST*SALS RISTORANTE,Food & Drink,Sale,-37.16,
04/09/2025,04/10/2025,ECONOMY HARDWARE #3,Home,Sale,-27.58,
04/08/2025,04/08/2025,Payment Thank You-Mobile,,Payment,5693.85,
04/07/2025,04/08/2025,TST*PUBLICO STREET BISTR,Food & Drink,Sale,-155.54,
04/06/2025,04/08/2025,VONG`S THAI CUISINE,Food & Drink,Sale,-58.66,
04/06/2025,04/08/2025,THE HOME DEPOT 2679,Home,Sale,-6.87,
04/07/2025,04/08/2025,CVS/PHARMACY #00979,Health & Wellness,Sale,-32.49,
04/06/2025,04/07/2025,TARGET        00018986,Shopping,Sale,-51.30,
04/04/2025,04/06/2025,TROY GENERAL STORE,Groceries,Sale,-6.77,
04/04/2025,04/06/2025,THE JUNCTION RESTAURANT,Food & Drink,Sale,-47.74,
04/01/2025,04/02/2025,MBTA-550003250457-0806,Travel,Sale,-1.70,
04/01/2025,04/02/2025,TST* CAPO SOUTH BOSTON,Food & Drink,Sale,-217.90,
03/30/2025,04/01/2025,THE HOME DEPOT #2679,Home,Return,190.19,
03/29/2025,04/01/2025,THE INN,Food & Drink,Sale,-210.51,
03/29/2025,03/31/2025,PICK AND SHOVEL,Home,Sale,-38.40,
03/28/2025,03/30/2025,PICK AND SHOVEL,Home,Sale,-5.80,
03/28/2025,03/30/2025,NEWPORT IRVING MAPLE,Gas,Sale,-34.51,
03/28/2025,03/30/2025,NEWPORT VILLAGE MAR,Groceries,Sale,-16.64,
03/28/2025,03/30/2025,TST* THE PLAYWRIGHT,Food & Drink,Sale,-154.40,
03/25/2025,03/27/2025,TST*PUBLICO STREET BISTR,Food & Drink,Sale,-150.00,
03/24/2025,03/26/2025,STAR OSCO 4587,Groceries,Sale,-36.81,
03/23/2025,03/25/2025,THE JAY VILLAGE INN,Food & Drink,Sale,-143.70,
03/21/2025,03/23/2025,NEWPORT VILLAGE MAR,Groceries,Sale,-37.71,
03/22/2025,03/23/2025,TROY GENERAL STORE,Groceries,Sale,-16.44,
03/22/2025,03/23/2025,WF* WAYFAIR4382712441,Home,Sale,-116.59,
03/21/2025,03/23/2025,NEWPORT IRVING MAPLE,Gas,Sale,-33.50,
03/20/2025,03/21/2025,V-CARE PHARMACY,Health & Wellness,Sale,-10.00,
03/17/2025,03/18/2025,WWW.UI.COM,Shopping,Sale,-151.86,
03/15/2025,03/17/2025,VONG`S THAI CUISINE,Food & Drink,Sale,-38.44,
03/15/2025,03/16/2025,PANERA BREAD #203409 K,Food & Drink,Sale,-9.75,
03/13/2025,03/14/2025,OIL SUPPLY CORP,Bills & Utilities,Sale,-682.50,
03/13/2025,03/14/2025,STOP &amp; SHOP 0053,Groceries,Sale,-55.74,
03/11/2025,03/13/2025,BETTERDOOR LLC,Shopping,Sale,-370.00,
03/12/2025,03/12/2025,NOOM INC SUB.NOOM.COM,Shopping,Sale,-179.56,
03/11/2025,03/12/2025,SIMS BARBER LAB 1,Personal,Sale,-66.00,
03/09/2025,03/11/2025,APPLE STORE  #R110,Shopping,Sale,-296.44,
03/10/2025,03/11/2025,GEICO  *AUTO,Bills & Utilities,Sale,-874.35,
03/10/2025,03/10/2025,Payment Thank You-Mobile,,Payment,1183.43,
03/09/2025,03/10/2025,SCRUBADUB DORCHESTER,Automotive,Sale,-12.00,
03/09/2025,03/10/2025,TST*PETULAS - SOUTHIE,Food & Drink,Sale,-164.03,
03/07/2025,03/09/2025,HOOKSETT IRV COMM MAN NB,Gas,Sale,-45.70,
03/07/2025,03/09/2025,DEDHAM SAVINGS,Personal,Sale,-635.00,
03/08/2025,03/09/2025,HOAGIES PIZZA AND PASTA,Food & Drink,Sale,-125.69,
03/06/2025,03/07/2025,SQ *BON ME - FORT POINT,Food & Drink,Sale,-18.00,
03/04/2025,03/06/2025,TST*PUBLICO STREET BISTR,Food & Drink,Sale,-195.71,
03/04/2025,03/05/2025,NOOM INC SUB.NOOM.COM,Shopping,Sale,-10.00,
03/02/2025,03/04/2025,CHARLES HOTEL FB,Food & Drink,Sale,-118.79,
03/01/2025,03/03/2025,BOSTON BOWL,Entertainment,Sale,-31.88,
02/28/2025,03/02/2025,MBTA-550003250457-0806,Travel,Sale,-2.40,
02/28/2025,03/02/2025,MBTA-550003250457-0806,Travel,Sale,-2.40,
